,Date,Post patch?,Post patch pipette R,post patch class
5070,2018-01-19,nucleus_present,1000.0,Nucleated
5071,2018-01-19,nucleus_present,1000.0,Nucleated
5073,2018-01-19,nucleus_present,1000.0,Nucleated
5074,2018-01-19,nucleus_present,1500.0,Nucleated
5075,2018-01-19,nucleus_present,1000.0,Nucleated
5077,2018-01-22,nucleus_present,1500.0,Nucleated
5078,2018-01-22,nucleus_present,1000.0,Nucleated
5080,2018-01-22,nucleus_present,2000.0,Nucleated
5083,2018-01-22,nucleus_present,950.0,Nucleated
5085,2018-01-22,nucleus_present,1000.0,Nucleated
5089,2018-01-22,nucleus_present,1000.0,Nucleated
5090,2018-01-22,nucleus_present,1000.0,Nucleated
5091,2018-01-22,nucleus_present,1000.0,Nucleated
5093,2018-01-22,nucleus_present,1000.0,Nucleated
5094,2018-01-22,nucleus_present,1000.0,Nucleated
5095,2018-01-22,nucleus_present,1000.0,Nucleated
5096,2018-01-22,nucleus_present,1000.0,Nucleated
5097,2018-01-22,nucleus_present,1000.0,Nucleated
5098,2018-01-22,nucleus_present,1000.0,Nucleated
5099,2018-01-22,nucleus_present,1000.0,Nucleated
5100,2018-01-22,nucleus_present,1000.0,Nucleated
5101,2018-01-23,nucleus_present,2000.0,Nucleated
5102,2018-01-23,nucleus_present,2000.0,Nucleated
5103,2018-01-23,nucleus_present,1500.0,Nucleated
5104,2018-01-23,nucleus_present,2000.0,Nucleated
5105,2018-01-23,nucleus_present,1000.0,Nucleated
5108,2018-01-23,nucleus_present,900.0,Nucleated
5109,2018-01-23,nucleus_present,1000.0,Nucleated
5110,2018-01-23,nucleus_present,1000.0,Nucleated
5112,2018-01-23,nucleus_present,1000.0,Nucleated
5116,2018-01-24,nucleus_present,950.0,Nucleated
5120,2018-01-24,nucleus_present,1000.0,Nucleated
5121,2018-01-24,nucleus_present,1000.0,Nucleated
5124,2018-01-24,nucleus_present,1000.0,Nucleated
5125,2018-01-24,nucleus_present,1000.0,Nucleated
5126,2018-01-24,nucleus_present,1000.0,Nucleated
5129,2018-01-24,nucleus_present,1500.0,Nucleated
5131,2018-01-24,nucleus_present,2000.0,Nucleated
5132,2018-01-24,nucleus_present,2000.0,Nucleated
5134,2018-01-24,nucleus_present,1000.0,Nucleated
5137,2018-01-25,nucleus_present,1300.0,Nucleated
5141,2018-01-25,nucleus_present,1000.0,Nucleated
5142,2018-01-25,nucleus_present,1000.0,Nucleated
5143,2018-01-25,nucleus_present,1000.0,Nucleated
5144,2018-01-26,nucleus_present,1000.0,Nucleated
5150,2018-01-26,nucleus_present,1800.0,Nucleated
5154,2018-01-26,nucleus_present,1800.0,Nucleated
5155,2018-01-26,nucleus_present,1000.0,Nucleated
1,2017-01-04,No-Seal,,No seal
2,2017-01-04,No-Seal,,No seal
3,2017-01-04,No-Seal,,No seal
30,2017-01-05,No-Seal,,No seal
37,2017-01-05,No-Seal,,No seal
38,2017-01-05,No-Seal,,No seal
48,2017-01-06,No-Seal,,No seal
52,2017-01-06,No-Seal,,No seal
53,2017-01-06,No-Seal,,No seal
61,2017-01-06,No-Seal,,No seal
79,2017-01-10,No-Seal,,No seal
89,2017-01-11,No-Seal,,No seal
91,2017-01-11,No-Seal,,No seal
93,2017-01-11,No-Seal,,No seal
94,2017-01-11,No-Seal,,No seal
99,2017-01-11,No-Seal,,No seal
111,2017-01-12,No-Seal,,No seal
113,2017-01-12,No-Seal,,No seal
126,2017-01-13,No-Seal,,No seal
133,2017-01-13,No-Seal,,No seal
135,2017-01-13,No-Seal,,No seal
137,2017-01-13,No-Seal,,No seal
149,2017-01-16,No-Seal,,No seal
150,2017-01-16,No-Seal,,No seal
157,2017-01-16,No-Seal,,No seal
160,2017-01-16,No-Seal,,No seal
174,2017-01-17,No-Seal,,No seal
195,2017-01-18,No-Seal,,No seal
212,2017-01-19,No-Seal,,No seal
218,2017-01-19,No-Seal,,No seal
219,2017-01-19,No-Seal,,No seal
220,2017-01-19,No-Seal,,No seal
238,2017-01-20,No-Seal,,No seal
269,2017-01-23,No-Seal,,No seal
270,2017-01-23,No-Seal,,No seal
280,2017-01-24,No-Seal,,No seal
285,2017-01-24,No-Seal,,No seal
288,2017-01-24,No-Seal,,No seal
312,2017-01-25,No-Seal,,No seal
316,2017-01-25,No-Seal,,No seal
328,2017-01-26,No-Seal,,No seal
334,2017-01-26,No-Seal,,No seal
335,2017-01-26,No-Seal,,No seal
352,2017-01-27,No-Seal,,No seal
354,2017-01-27,No-Seal,,No seal
364,2017-01-27,No-Seal,,No seal
368,2017-01-27,No-Seal,,No seal
418,2017-02-01,No-Seal,,No seal
421,2017-02-01,No-Seal,,No seal
438,2017-02-02,No-Seal,,No seal
444,2017-02-02,No-Seal,,No seal
446,2017-02-02,No-Seal,,No seal
475,2017-02-07,No-Seal,,No seal
481,2017-02-07,No-Seal,,No seal
484,2017-02-07,No-Seal,,No seal
494,2017-02-08,No-Seal,,No seal
498,2017-02-08,No-Seal,,No seal
530,2017-02-09,No-Seal,,No seal
547,2017-02-10,No-Seal,,No seal
548,2017-02-10,No-Seal,,No seal
549,2017-02-10,No-Seal,,No seal
553,2017-02-10,No-Seal,,No seal
557,2017-02-10,No-Seal,,No seal
564,2017-02-10,No-Seal,,No seal
566,2017-02-10,No-Seal,,No seal
577,2017-02-13,No-Seal,,No seal
605,2017-02-13,No-Seal,,No seal
607,2017-02-13,No-Seal,,No seal
621,2017-02-15,No-Seal,,No seal
629,2017-02-15,No-Seal,,No seal
630,2017-02-15,No-Seal,,No seal
647,2017-02-15,No-Seal,,No seal
656,2017-02-16,No-Seal,,No seal
657,2017-02-16,No-Seal,,No seal
662,2017-02-16,No-Seal,,No seal
663,2017-02-16,No-Seal,,No seal
665,2017-02-16,No-Seal,,No seal
666,2017-02-16,No-Seal,,No seal
676,2017-02-16,No-Seal,,No seal
689,2017-02-17,No-Seal,,No seal
690,2017-02-17,No-Seal,,No seal
692,2017-02-17,No-Seal,,No seal
693,2017-02-17,No-Seal,,No seal
694,2017-02-17,No-Seal,,No seal
695,2017-02-17,No-Seal,,No seal
696,2017-02-17,No-Seal,,No seal
697,2017-02-17,No-Seal,,No seal
698,2017-02-17,No-Seal,,No seal
702,2017-02-17,No-Seal,,No seal
704,2017-02-17,No-Seal,,No seal
705,2017-02-17,No-Seal,,No seal
708,2017-02-17,No-Seal,,No seal
709,2017-02-17,No-Seal,,No seal
718,2017-02-20,No-Seal,,No seal
719,2017-02-20,No-Seal,,No seal
720,2017-02-20,No-Seal,,No seal
722,2017-02-20,No-Seal,,No seal
727,2017-02-20,No-Seal,,No seal
729,2017-02-20,No-Seal,,No seal
741,2017-02-21,No-Seal,,No seal
744,2017-02-21,No-Seal,,No seal
745,2017-02-21,No-Seal,,No seal
750,2017-02-21,No-Seal,,No seal
752,2017-02-21,No-Seal,,No seal
758,2017-02-21,No-Seal,,No seal
766,2017-02-22,No-Seal,,No seal
769,2017-02-22,No-Seal,,No seal
770,2017-02-22,No-Seal,,No seal
776,2017-02-22,No-Seal,,No seal
778,2017-02-22,No-Seal,,No seal
787,2017-02-22,No-Seal,,No seal
879,2017-03-06,No-Seal,,No seal
996,2017-03-13,No-Seal,,No seal
1007,2017-03-13,No-Seal,,No seal
1014,2017-03-14,No-Seal,,No seal
1020,2017-03-14,No-Seal,,No seal
1021,2017-03-14,No-Seal,,No seal
1032,2017-03-15,No-Seal,,No seal
1037,2017-03-15,No-Seal,,No seal
1040,2017-03-15,No-Seal,,No seal
1041,2017-03-15,No-Seal,,No seal
1045,2017-03-15,No-Seal,,No seal
1046,2017-03-15,No-Seal,,No seal
1052,2017-03-15,No-Seal,,No seal
1069,2017-03-16,No-Seal,,No seal
1078,2017-03-16,No-Seal,,No seal
1079,2017-03-16,No-Seal,,No seal
1087,2017-03-17,No-Seal,,No seal
1089,2017-03-17,No-Seal,,No seal
1091,2017-03-17,No-Seal,,No seal
1106,2017-03-20,No-Seal,,No seal
1110,2017-03-20,No-Seal,,No seal
1127,2017-03-21,No-Seal,,No seal
1129,2017-03-21,No-Seal,,No seal
1135,2017-03-21,No-Seal,,No seal
1139,2017-03-21,No-Seal,,No seal
1140,2017-03-21,No-Seal,,No seal
1146,2017-03-22,No-Seal,,No seal
1150,2017-03-22,No-Seal,,No seal
1157,2017-03-22,No-Seal,,No seal
1160,2017-03-22,No-Seal,,No seal
1173,2017-03-24,No-Seal,,No seal
1174,2017-03-24,No-Seal,,No seal
1177,2017-03-24,No-Seal,,No seal
1189,2017-03-27,No-Seal,,No seal
1201,2017-03-27,No-Seal,,No seal
1213,2017-03-28,No-Seal,,No seal
1244,2017-03-29,No-Seal,,No seal
1247,2017-03-29,No-Seal,,No seal
1262,2017-03-30,No-Seal,,No seal
1266,2017-03-30,No-Seal,,No seal
1278,2017-03-31,No-Seal,,No seal
1285,2017-03-31,No-Seal,,No seal
1303,2017-04-03,No-Seal,,No seal
1321,2017-04-03,No-Seal,,No seal
1335,2017-04-04,No-Seal,,No seal
1338,2017-04-04,No-Seal,,No seal
1359,2017-04-05,No-Seal,,No seal
1366,2017-04-05,No-Seal,,No seal
1374,2017-04-05,No-Seal,,No seal
1375,2017-04-05,No-Seal,,No seal
1378,2017-04-05,No-Seal,,No seal
1385,2017-04-05,No-Seal,,No seal
1387,2017-04-05,No-Seal,,No seal
1389,2017-04-05,No-Seal,,No seal
1406,2017-04-06,No-Seal,,No seal
1450,2017-04-10,No-Seal,,No seal
1456,2017-04-10,No-Seal,,No seal
1463,2017-04-11,No-Seal,,No seal
1467,2017-04-11,No-Seal,,No seal
1476,2017-04-12,No-Seal,,No seal
1489,2017-04-13,No-Seal,,No seal
1490,2017-04-13,No-Seal,,No seal
1491,2017-04-13,No-Seal,,No seal
1494,2017-04-13,No-Seal,,No seal
1495,2017-04-13,No-Seal,,No seal
1496,2017-04-13,No-Seal,,No seal
1497,2017-04-13,No-Seal,,No seal
1498,2017-04-13,No-Seal,,No seal
1501,2017-04-13,No-Seal,,No seal
1502,2017-04-13,No-Seal,,No seal
1503,2017-04-13,No-Seal,,No seal
1506,2017-04-13,No-Seal,,No seal
1517,2017-04-13,No-Seal,,No seal
1525,2017-04-14,No-Seal,,No seal
1526,2017-04-14,No-Seal,,No seal
1527,2017-04-14,No-Seal,,No seal
1528,2017-04-14,No-Seal,,No seal
1529,2017-04-14,No-Seal,,No seal
1531,2017-04-14,No-Seal,,No seal
1532,2017-04-14,No-Seal,,No seal
1533,2017-04-14,No-Seal,,No seal
1537,2017-04-14,No-Seal,,No seal
1539,2017-04-14,No-Seal,,No seal
1540,2017-04-14,No-Seal,,No seal
1544,2017-04-14,No-Seal,,No seal
1551,2017-04-14,No-Seal,,No seal
1555,2017-04-14,No-Seal,,No seal
1556,2017-04-14,No-Seal,,No seal
1557,2017-04-14,No-Seal,,No seal
1558,2017-04-14,No-Seal,,No seal
1566,2017-04-17,No-Seal,,No seal
1567,2017-04-17,No-Seal,,No seal
1568,2017-04-17,No-Seal,,No seal
1570,2017-04-17,No-Seal,,No seal
1572,2017-04-17,No-Seal,,No seal
1573,2017-04-17,No-Seal,,No seal
1576,2017-04-17,No-Seal,,No seal
1577,2017-04-17,No-Seal,,No seal
1578,2017-04-17,No-Seal,,No seal
1580,2017-04-17,No-Seal,,No seal
1581,2017-04-17,No-Seal,,No seal
1582,2017-04-17,No-Seal,,No seal
1598,2017-04-18,No-Seal,,No seal
1599,2017-04-18,No-Seal,,No seal
1600,2017-04-18,No-Seal,,No seal
1601,2017-04-18,No-Seal,,No seal
1602,2017-04-18,No-Seal,,No seal
1606,2017-04-18,No-Seal,,No seal
1607,2017-04-18,No-Seal,,No seal
1608,2017-04-18,No-Seal,,No seal
1609,2017-04-18,No-Seal,,No seal
1610,2017-04-18,No-Seal,,No seal
1612,2017-04-18,No-Seal,,No seal
1617,2017-04-18,No-Seal,,No seal
1619,2017-04-18,No-Seal,,No seal
1626,2017-04-19,No-Seal,,No seal
1627,2017-04-19,No-Seal,,No seal
1628,2017-04-19,No-Seal,,No seal
1629,2017-04-19,No-Seal,,No seal
1630,2017-04-19,No-Seal,,No seal
1631,2017-04-19,No-Seal,,No seal
1636,2017-04-19,No-Seal,,No seal
1640,2017-04-19,No-Seal,,No seal
1644,2017-04-19,No-Seal,,No seal
1645,2017-04-19,No-Seal,,No seal
1646,2017-04-19,No-Seal,,No seal
1647,2017-04-19,No-Seal,,No seal
1655,2017-04-20,No-Seal,,No seal
1656,2017-04-20,No-Seal,,No seal
1657,2017-04-20,No-Seal,,No seal
1658,2017-04-20,No-Seal,,No seal
1659,2017-04-20,No-Seal,,No seal
1660,2017-04-20,No-Seal,,No seal
1661,2017-04-20,No-Seal,,No seal
1666,2017-04-20,No-Seal,,No seal
1669,2017-04-20,No-Seal,,No seal
1670,2017-04-20,No-Seal,,No seal
1671,2017-04-20,No-Seal,,No seal
1672,2017-04-20,No-Seal,,No seal
1673,2017-04-20,No-Seal,,No seal
1682,2017-04-21,No-Seal,,No seal
1683,2017-04-21,No-Seal,,No seal
1684,2017-04-21,No-Seal,,No seal
1685,2017-04-21,No-Seal,,No seal
1686,2017-04-21,No-Seal,,No seal
1689,2017-04-21,No-Seal,,No seal
1694,2017-04-21,No-Seal,,No seal
1695,2017-04-21,No-Seal,,No seal
1696,2017-04-21,No-Seal,,No seal
1697,2017-04-21,No-Seal,,No seal
1698,2017-04-21,No-Seal,,No seal
1699,2017-04-21,No-Seal,,No seal
1700,2017-04-21,No-Seal,,No seal
1708,2017-04-24,No-Seal,,No seal
1710,2017-04-24,No-Seal,,No seal
1712,2017-04-24,No-Seal,,No seal
1714,2017-04-24,No-Seal,,No seal
1715,2017-04-24,No-Seal,,No seal
1716,2017-04-24,No-Seal,,No seal
1720,2017-04-24,No-Seal,,No seal
1721,2017-04-24,No-Seal,,No seal
1722,2017-04-24,No-Seal,,No seal
1723,2017-04-24,No-Seal,,No seal
1725,2017-04-24,No-Seal,,No seal
1726,2017-04-24,No-Seal,,No seal
1727,2017-04-24,No-Seal,,No seal
1728,2017-04-24,No-Seal,,No seal
1736,2017-04-25,No-Seal,,No seal
1737,2017-04-25,No-Seal,,No seal
1738,2017-04-25,No-Seal,,No seal
1740,2017-04-25,No-Seal,,No seal
1741,2017-04-25,No-Seal,,No seal
1742,2017-04-25,No-Seal,,No seal
1743,2017-04-25,No-Seal,,No seal
1744,2017-04-25,No-Seal,,No seal
1745,2017-04-25,No-Seal,,No seal
1748,2017-04-25,No-Seal,,No seal
1749,2017-04-25,No-Seal,,No seal
1752,2017-04-25,No-Seal,,No seal
1753,2017-04-25,No-Seal,,No seal
1756,2017-04-25,No-Seal,,No seal
1757,2017-04-25,No-Seal,,No seal
1781,2017-04-26,No-Seal,,No seal
1785,2017-04-26,No-Seal,,No seal
1793,2017-04-27,No-Seal,,No seal
1798,2017-04-27,No-Seal,,No seal
1807,2017-04-27,No-Seal,,No seal
1813,2017-04-27,No-Seal,,No seal
1826,2017-04-28,No-Seal,,No seal
1831,2017-04-28,No-Seal,,No seal
1834,2017-04-28,No-Seal,,No seal
1836,2017-04-28,No-Seal,,No seal
1846,2017-05-01,No-Seal,,No seal
1853,2017-05-01,No-Seal,,No seal
1857,2017-05-01,No-Seal,,No seal
1863,2017-05-01,No-Seal,,No seal
1867,2017-05-01,No-Seal,,No seal
1880,2017-05-02,No-Seal,,No seal
1882,2017-05-02,No-Seal,,No seal
1883,2017-05-02,No-Seal,,No seal
1884,2017-05-02,No-Seal,,No seal
1893,2017-05-02,No-Seal,,No seal
1915,2017-05-03,No-Seal,,No seal
1918,2017-05-03,No-Seal,,No seal
1919,2017-05-03,No-Seal,,No seal
1921,2017-05-03,No-Seal,,No seal
1922,2017-05-03,No-Seal,,No seal
1924,2017-05-03,No-Seal,,No seal
1930,2017-05-03,No-Seal,,No seal
1931,2017-05-03,No-Seal,,No seal
1932,2017-05-03,No-Seal,,No seal
1933,2017-05-03,No-Seal,,No seal
1934,2017-05-03,No-Seal,,No seal
1949,2017-05-04,No-Seal,,No seal
1951,2017-05-04,No-Seal,,No seal
1952,2017-05-04,No-Seal,,No seal
1958,2017-05-04,No-Seal,,No seal
1966,2017-05-04,No-Seal,,No seal
1967,2017-05-04,No-Seal,,No seal
1969,2017-05-04,No-Seal,,No seal
1982,2017-05-05,No-Seal,,No seal
1983,2017-05-05,No-Seal,,No seal
1987,2017-05-05,No-Seal,,No seal
1988,2017-05-05,No-Seal,,No seal
1989,2017-05-05,No-Seal,,No seal
1990,2017-05-05,No-Seal,,No seal
1993,2017-05-05,No-Seal,,No seal
2012,2017-05-10,No-Seal,,No seal
2014,2017-05-10,No-Seal,,No seal
2015,2017-05-10,No-Seal,,No seal
2016,2017-05-10,No-Seal,,No seal
2020,2017-05-10,No-Seal,,No seal
2023,2017-05-10,No-Seal,,No seal
2025,2017-05-10,No-Seal,,No seal
2028,2017-05-10,No-Seal,,No seal
2045,2017-05-11,No-Seal,,No seal
2046,2017-05-11,No-Seal,,No seal
2049,2017-05-11,No-Seal,,No seal
2062,2017-05-11,No-Seal,,No seal
2071,2017-05-12,No-Seal,,No seal
2072,2017-05-12,No-Seal,,No seal
2073,2017-05-12,No-Seal,,No seal
2074,2017-05-12,No-Seal,,No seal
2075,2017-05-12,No-Seal,,No seal
2076,2017-05-12,No-Seal,,No seal
2085,2017-05-12,No-Seal,,No seal
2090,2017-05-12,No-Seal,,No seal
2099,2017-05-15,No-Seal,,No seal
2100,2017-05-15,No-Seal,,No seal
2102,2017-05-15,No-Seal,,No seal
2103,2017-05-15,No-Seal,,No seal
2104,2017-05-15,No-Seal,,No seal
2106,2017-05-15,No-Seal,,No seal
2114,2017-05-15,No-Seal,,No seal
2116,2017-05-15,No-Seal,,No seal
2117,2017-05-15,No-Seal,,No seal
2125,2017-05-16,No-Seal,,No seal
2126,2017-05-16,No-Seal,,No seal
2127,2017-05-16,No-Seal,,No seal
2129,2017-05-16,No-Seal,,No seal
2149,2017-05-17,No-Seal,,No seal
2150,2017-05-17,No-Seal,,No seal
2154,2017-05-17,No-Seal,,No seal
2162,2017-05-17,No-Seal,,No seal
2182,2017-05-18,No-Seal,,No seal
2183,2017-05-18,No-Seal,,No seal
2187,2017-05-18,No-Seal,,No seal
2188,2017-05-18,No-Seal,,No seal
2195,2017-05-18,No-Seal,,No seal
2202,2017-05-18,No-Seal,,No seal
2217,2017-05-19,No-Seal,,No seal
2222,2017-05-19,No-Seal,,No seal
2223,2017-05-19,No-Seal,,No seal
2225,2017-05-19,No-Seal,,No seal
2226,2017-05-19,No-Seal,,No seal
2227,2017-05-19,No-Seal,,No seal
2228,2017-05-19,No-Seal,,No seal
2237,2017-05-22,No-Seal,,No seal
2251,2017-05-23,No-Seal,,No seal
2255,2017-05-23,No-Seal,,No seal
2257,2017-05-23,No-Seal,,No seal
2258,2017-05-23,No-Seal,,No seal
2259,2017-05-23,No-Seal,,No seal
2260,2017-05-23,No-Seal,,No seal
2263,2017-05-23,No-Seal,,No seal
2264,2017-05-23,No-Seal,,No seal
2265,2017-05-23,No-Seal,,No seal
2266,2017-05-23,No-Seal,,No seal
2270,2017-05-23,No-Seal,,No seal
2300,2017-05-25,No-Seal,,No seal
2301,2017-05-25,No-Seal,,No seal
2304,2017-05-25,No-Seal,,No seal
2305,2017-05-25,No-Seal,,No seal
2306,2017-05-25,No-Seal,,No seal
2307,2017-05-25,No-Seal,,No seal
2332,2017-05-26,No-Seal,,No seal
2336,2017-05-26,No-Seal,,No seal
2338,2017-05-26,No-Seal,,No seal
2339,2017-05-26,No-Seal,,No seal
2349,2017-06-01,No-Seal,,No seal
2350,2017-06-01,No-Seal,,No seal
2357,2017-06-01,No-Seal,,No seal
2358,2017-06-01,No-Seal,,No seal
2360,2017-06-01,No-Seal,,No seal
2367,2017-06-02,No-Seal,,No seal
2376,2017-06-02,No-Seal,,No seal
2379,2017-06-02,No-Seal,,No seal
2381,2017-06-02,No-Seal,,No seal
2383,2017-06-02,No-Seal,,No seal
2399,2017-06-05,No-Seal,,No seal
2400,2017-06-05,No-Seal,,No seal
2401,2017-06-05,No-Seal,,No seal
2402,2017-06-05,No-Seal,,No seal
2409,2017-06-05,No-Seal,,No seal
2412,2017-06-05,No-Seal,,No seal
2422,2017-06-06,No-Seal,,No seal
2424,2017-06-06,No-Seal,,No seal
2425,2017-06-06,No-Seal,,No seal
2430,2017-06-06,No-Seal,,No seal
2438,2017-06-07,No-Seal,,No seal
2439,2017-06-07,No-Seal,,No seal
2450,2017-06-08,No-Seal,,No seal
2458,2017-06-09,No-Seal,,No seal
2460,2017-06-09,No-Seal,,No seal
2463,2017-06-09,No-Seal,,No seal
2464,2017-06-09,No-Seal,,No seal
2465,2017-06-09,No-Seal,,No seal
2471,2017-06-09,No-Seal,,No seal
2479,2017-06-12,No-Seal,,No seal
2483,2017-06-12,No-Seal,,No seal
2484,2017-06-12,No-Seal,,No seal
2485,2017-06-12,No-Seal,,No seal
2493,2017-06-12,No-Seal,,No seal
2499,2017-06-12,No-Seal,,No seal
2506,2017-06-13,No-Seal,,No seal
2507,2017-06-13,No-Seal,,No seal
2511,2017-06-13,No-Seal,,No seal
2512,2017-06-13,No-Seal,,No seal
2515,2017-06-13,No-Seal,,No seal
2519,2017-06-13,No-Seal,,No seal
2522,2017-06-13,No-Seal,,No seal
2523,2017-06-13,No-Seal,,No seal
2531,2017-06-14,No-Seal,,No seal
2537,2017-06-16,No-Seal,,No seal
2538,2017-06-16,No-Seal,,No seal
2540,2017-06-16,No-Seal,,No seal
2541,2017-06-16,No-Seal,,No seal
2543,2017-06-16,No-Seal,,No seal
2546,2017-06-16,No-Seal,,No seal
2551,2017-06-19,No-Seal,,No seal
2554,2017-06-19,No-Seal,,No seal
2557,2017-06-19,No-Seal,,No seal
2558,2017-06-19,No-Seal,,No seal
2561,2017-06-19,No-Seal,,No seal
2563,2017-06-19,No-Seal,,No seal
2565,2017-06-19,No-Seal,,No seal
2578,2017-06-20,No-Seal,,No seal
2579,2017-06-20,No-Seal,,No seal
2586,2017-06-20,No-Seal,,No seal
2588,2017-06-20,No-Seal,,No seal
2604,2017-06-21,No-Seal,,No seal
2606,2017-06-21,No-Seal,,No seal
2607,2017-06-21,No-Seal,,No seal
2614,2017-06-21,No-Seal,,No seal
2615,2017-06-21,No-Seal,,No seal
2616,2017-06-21,No-Seal,,No seal
2621,2017-06-21,No-Seal,,No seal
2631,2017-06-22,No-Seal,,No seal
2632,2017-06-22,No-Seal,,No seal
2641,2017-06-22,No-Seal,,No seal
2642,2017-06-22,No-Seal,,No seal
2645,2017-06-22,No-Seal,,No seal
2647,2017-06-22,No-Seal,,No seal
2651,2017-06-22,No-Seal,,No seal
2656,2017-06-22,No-Seal,,No seal
2669,2017-06-23,No-Seal,,No seal
2671,2017-06-23,No-Seal,,No seal
2674,2017-06-23,No-Seal,,No seal
2685,2017-06-23,No-Seal,,No seal
2688,2017-06-23,No-Seal,,No seal
2689,2017-06-23,No-Seal,,No seal
2707,2017-06-26,No-Seal,,No seal
2708,2017-06-26,No-Seal,,No seal
2709,2017-06-26,No-Seal,,No seal
2714,2017-06-26,No-Seal,,No seal
2715,2017-06-26,No-Seal,,No seal
2716,2017-06-26,No-Seal,,No seal
2719,2017-06-26,No-Seal,,No seal
2732,2017-06-27,No-Seal,,No seal
2741,2017-06-27,No-Seal,,No seal
2745,2017-06-27,No-Seal,,No seal
2748,2017-06-27,No-Seal,,No seal
2752,2017-06-27,No-Seal,,No seal
2758,2017-06-27,No-Seal,,No seal
2767,2017-06-28,No-Seal,,No seal
2769,2017-06-28,No-Seal,,No seal
2771,2017-06-28,No-Seal,,No seal
2775,2017-06-28,No-Seal,,No seal
2780,2017-06-28,No-Seal,,No seal
2784,2017-06-28,No-Seal,,No seal
2801,2017-06-29,No-Seal,,No seal
2802,2017-06-29,No-Seal,,No seal
2803,2017-06-29,No-Seal,,No seal
2804,2017-06-29,No-Seal,,No seal
2809,2017-06-29,No-Seal,,No seal
2817,2017-06-29,No-Seal,,No seal
2818,2017-06-29,No-Seal,,No seal
2828,2017-06-30,No-Seal,,No seal
2829,2017-06-30,No-Seal,,No seal
2830,2017-06-30,No-Seal,,No seal
2831,2017-06-30,No-Seal,,No seal
2848,2017-07-03,No-Seal,,No seal
2852,2017-07-03,No-Seal,,No seal
2853,2017-07-03,No-Seal,,No seal
2857,2017-07-03,No-Seal,,No seal
2860,2017-07-03,No-Seal,,No seal
2870,2017-07-03,No-Seal,,No seal
2872,2017-07-03,No-Seal,,No seal
2882,2017-07-05,No-Seal,,No seal
2883,2017-07-05,No-Seal,,No seal
2886,2017-07-05,No-Seal,,No seal
2891,2017-07-05,No-Seal,,No seal
2892,2017-07-05,No-Seal,,No seal
2895,2017-07-05,No-Seal,,No seal
2896,2017-07-05,No-Seal,,No seal
2897,2017-07-05,No-Seal,,No seal
2903,2017-07-05,No-Seal,,No seal
2910,2017-07-05,No-Seal,,No seal
2911,2017-07-05,No-Seal,,No seal
2913,2017-07-05,No-Seal,,No seal
2914,2017-07-05,No-Seal,,No seal
2919,2017-07-05,No-Seal,,No seal
2927,2017-07-06,No-Seal,,No seal
2930,2017-07-06,No-Seal,,No seal
2932,2017-07-06,No-Seal,,No seal
2933,2017-07-06,No-Seal,,No seal
2941,2017-07-06,No-Seal,,No seal
2950,2017-07-06,No-Seal,,No seal
2951,2017-07-06,No-Seal,,No seal
2961,2017-07-07,No-Seal,,No seal
2964,2017-07-07,No-Seal,,No seal
2965,2017-07-07,No-Seal,,No seal
2966,2017-07-07,No-Seal,,No seal
2972,2017-07-07,No-Seal,,No seal
2981,2017-07-07,No-Seal,,No seal
2982,2017-07-07,No-Seal,,No seal
2984,2017-07-07,No-Seal,,No seal
2995,2017-07-10,No-Seal,,No seal
2996,2017-07-10,No-Seal,,No seal
2997,2017-07-10,No-Seal,,No seal
3000,2017-07-10,No-Seal,,No seal
3003,2017-07-10,No-Seal,,No seal
3018,2017-07-10,No-Seal,,No seal
3019,2017-07-10,No-Seal,,No seal
3024,2017-07-10,No-Seal,,No seal
3032,2017-07-12,No-Seal,,No seal
3033,2017-07-12,No-Seal,,No seal
3039,2017-07-12,No-Seal,,No seal
3040,2017-07-12,No-Seal,,No seal
3046,2017-07-12,No-Seal,,No seal
3048,2017-07-12,No-Seal,,No seal
3050,2017-07-12,No-Seal,,No seal
3059,2017-07-13,No-Seal,,No seal
3062,2017-07-13,No-Seal,,No seal
3063,2017-07-13,No-Seal,,No seal
3064,2017-07-13,No-Seal,,No seal
3071,2017-07-13,No-Seal,,No seal
3072,2017-07-13,No-Seal,,No seal
3080,2017-07-14,No-Seal,,No seal
3083,2017-07-14,No-Seal,,No seal
3086,2017-07-14,No-Seal,,No seal
3104,2017-07-17,No-Seal,,No seal
3107,2017-07-17,No-Seal,,No seal
3108,2017-07-17,No-Seal,,No seal
3130,2017-07-18,No-Seal,,No seal
3134,2017-07-18,No-Seal,,No seal
3137,2017-07-18,No-Seal,,No seal
3141,2017-07-18,No-Seal,,No seal
3143,2017-07-18,No-Seal,,No seal
3155,2017-07-19,No-Seal,,No seal
3156,2017-07-19,No-Seal,,No seal
3161,2017-07-19,No-Seal,,No seal
3199,2017-07-20,No-Seal,,No seal
3200,2017-07-20,No-Seal,,No seal
3203,2017-07-20,No-Seal,,No seal
3207,2017-07-20,No-Seal,,No seal
3223,2017-07-21,No-Seal,,No seal
3225,2017-07-21,No-Seal,,No seal
3226,2017-07-21,No-Seal,,No seal
3229,2017-07-21,No-Seal,,No seal
3231,2017-07-21,No-Seal,,No seal
3235,2017-07-21,No-Seal,,No seal
3237,2017-07-21,No-Seal,,No seal
3239,2017-07-21,No-Seal,,No seal
3245,2017-07-21,No-Seal,,No seal
3246,2017-07-21,No-Seal,,No seal
